"","SRN","MobileNo","OwnerGroupID","AreaID","SubAreaID","DATE_COMMITTED","CLOSED_DATE","SR_TYPE","CONNECTION_TYPE","STATUS","SUB_STATUS","NotResolvedOnTime","OwnerGroupRanges","closed_day","commited_day"
"342","c3771351d77df342ea5fba1006ea34a15047ed5a55156e9fb5b7d2b2fa45b10d","250b002ec8aefd374ada13075ed7ac295b3bb31ea6b3c1473e707d7e6b03a3e2","19","7","19",2018-09-10,2018-09-10,"A","B","X","7","0","2","Monday","Monday"
"343","8669b78fc7d420ca9774bda93cf5d4f9b01e307fad2f307aaaaa464606f71225","ac9e4b1b1f0d4769041e9c9fb15fdcd140eb039869b91657e542cd4fa434f137","19","7","19",2018-09-10,2018-09-06,"A","B","X","7","0","2","Thursday","Monday"
"344","9554fbb5c2cb7f0fc6904feac3f87684d6c0acee7c4ab759a92342a29a695186","ad01cf53f1239769f762a87a495cc65a9bfa5906e8bf1a3d8cda7d41c6bf5f9d","14","7","14",2018-09-17,2018-09-14,"A","B","X","7","0","2","Friday","Monday"
"345","8ae1714e142f55e1cd2cb6664e9f008463d72fe0620a2a8ab920a3fbec7a5a8d","0eba452801ab48f83d31eaf923963a447df238623f947a7c577232e01b6e321a","19","7","19",2018-10-01,2018-09-22,"A","B","X","7","0","2","Saturday","Monday"
"346","7eaf26fd6f5eeda6ec2db08ec50e875ce6a529d0d5b7f2909bb5b8d34b3f9667","1400bc1ea61b257e65f5e9f8bc0f4d77d7ad51591edc9ddab229bf8b3f05da7d","19","7","19",2018-09-14,2018-09-11,"A","B","X","7","0","2","Tuesday","Friday"
"347","5277756aaf100a7af51951b08ca5beec7bcfd351b3004e26cb36a36e1f11c052","ac7b43707a927ea7ae48dbe0986279a95642480d870edb63ac5bcdc4aab6ab6c","19","7","19",2018-09-13,2018-09-06,"A","B","X","7","0","2","Thursday","Thursday"
"348","7ccd2981a35c5f54280e23078779c5cf66b6b4c9e90a22f5ec22bb6ea25751d1","8a2a226fe172d5605823ba289a31429b8a426385edf2101fdecab983fdf10bf7","19","7","19",2018-09-14,2018-09-07,"A","B","X","7","0","2","Friday","Friday"
"349","f857376cee28d1045ac1598658b81e2c46db4f088f1d6e96260affa087467664","a141a3ef64639a8c1919004feccdbe1c20abb1135341f449f0edff20d5e7cd3d","19","7","19",2018-09-18,2018-09-18,"A","B","X","7","0","2","Tuesday","Tuesday"
"350","0981e99fa4a8f35d7fad555e91c8d7302d275c293e1461b65d3247aaea5fa6d2","e23db99208a67f1cc0e61ccfa8ae4074b7ce7fb09a6839abe99889f6203afac3","19","7","19",2018-09-14,2018-09-11,"A","B","X","7","0","2","Tuesday","Friday"
"351","a23889b30c8618ed0b22efb8fbbae27a415f05ef49f5fbaa9cc70093c8b755d4","01ed174d24003d6500df5a1694120a4354a89f32a516344652c80869ccd6926b","19","7","19",2018-09-20,2018-09-18,"A","B","X","7","0","2","Tuesday","Thursday"
"352","10e561f0224597c616ba18743efbed6d888f053e0f84d41f80ceb946dcf5fd3c","4e710b66091734fa516c0b1eb1cfee939ffc6b1739e810273fb1528e1f1981a5","14","7","14",2018-09-17,2018-09-14,"A","B","X","7","0","2","Friday","Monday"
"353","d2f65392edcf355365fe624c48810d77724cbfee2916a2cad630fd626be1f254","350b547eabdb2b348d0d91200d2be2fc508c616fef8bee1ab25a9f6422a00497","19","7","19",2018-09-21,2018-09-17,"A","A","X","7","0","2","Monday","Friday"
"354","445e293ede8076266195bd277b509dff0a89a1f4e88d065bc7932141dbb16cd0","a604bf1a2b6ed1a2d764d967309b1eb731e630b1fa5686d55d86d8296d424a1e","19","7","19",2018-09-25,2018-09-21,"A","B","X","7","0","2","Friday","Tuesday"
"355","c8d020b1d41d399898af1a4e64d0a8e13fdd98edf3f7055bf67d418e30371275","fa51108b4f9d334c37aafa3d1a8de2016556ca603c0c431ed50f2442330b3436","14","7","14",2018-10-04,2018-09-28,"A","B","X","7","0","2","Friday","Thursday"
"356","a59c33fc8cae5080492371d632f00a272a10803cdd20f55c586cd8282d173423","8298feede0281a13348a4ba0b23941c72ff318bcc46c262cfa332301985ee596","19","7","19",2018-10-01,2018-10-01,"A","B","X","7","0","2","Monday","Monday"
"357","03112a66265a98679dbe36038055db7dd6abe8174bf6dc2d6eea7996ebea717c","345a61badf3433a29b3bcd3e759a9757b1ba2a6ed5521a8a89ff3a4774e45ef4","19","7","19",2018-09-21,2018-09-19,"A","B","X","7","0","2","Wednesday","Friday"
"358","7465417089a2ae0fbca98c1b88fa27e80c695e33aa19686f484676c26cf45070","81d4650a0741d85c3a29027623a6c4e01679951ac6819f4b9f165f0e61e87f72","19","7","19",2018-09-28,2018-09-29,"A","B","X","7","1","2","Saturday","Friday"
"359","6cf6e466410499378c8e5fe0dde52a7b061d32dd12e19fc58109ae87eb189ffb","e7e88370ee0d96d0d677fe5c0e427f376ed9661169ae6c90a22fb4e898470d09","19","7","19",2018-09-25,2018-09-20,"A","B","X","7","0","2","Thursday","Tuesday"
"360","e03cd7db85ce83d6d5ca334d108c943069d412e352659a01d5bb39e753dd0307","600b7e6444f4a35f20a1a9f7ba2244a3aec8472147e8e0b5b2f847a076dbceec","19","7","19",2018-09-21,2018-09-19,"A","A","X","7","0","2","Wednesday","Friday"
"361","61d09bc02e11611cb67377d090574aa8a483201e0cd01dc5eb65149b59f37369","ee075fb27a93740d96ac548549b38108a346ab1672f005a1c1743093ab5e0b0b","19","7","19",2018-09-17,2018-09-11,"A","B","X","7","0","2","Tuesday","Monday"
"362","9eb62ae0c7e1922f06920cdcacfc536915b41b73082461879527bd9027adc08b","154b92b3df5be790560ff45eadbd21173c186d6e8f3127052fca61f834eff2b7","19","7","19",2018-09-14,2018-09-10,"A","A","X","7","0","2","Monday","Friday"
"363","a1e3dc28a78c9024b911db394ba8ac78ec01fa87b6b3a6532aa599bbd0f07130","cec51cf9f374879895b840222eb69e5fefe38c9a7b862fa2dfcd47a24dfa3dac","10","5","10",2018-09-18,2018-09-11,"A","B","X","7","0","1","Tuesday","Tuesday"
"364","ceb1631670754155c6a82b42ce72565095885266660040fd677052f6413e27f0","e0e529f36106bfa313a75c7a79fd68c15afa9ca4dc8cc7d1cc21d2bf3402620c","19","7","19",2018-09-10,2018-09-06,"A","B","X","7","0","2","Thursday","Monday"
"365","e00481c3e20b2032fd0117b3e9b88fc50883f9f16448fd8f52304ad54f6213be","d1e1892ff897d1bc29a3658a57c8af3218a581b0c1782598aea240528fff2f86","14","7","14",2018-10-03,2018-09-29,"A","B","X","7","0","2","Saturday","Wednesday"
"366","79e466d8fbf5fdaa4971749b473b265c32b14ff8efbdb5c4f97acd41da7927ca","201ad328e56dab207d729779328404a023ee5c3123cf7d0fc58c23164df951cf","19","7","19",2018-10-03,2018-09-27,"A","B","X","7","0","2","Thursday","Wednesday"
"367","44df991157c6a325633309a89813f9f81999c037e0a714a71a29d0faebb1501d","1b5ef2a35c293014e5061775bbb6c64dead27bad959ee0731698114f3d946bb4","10","5","10",2018-09-10,2018-09-28,"A","B","X","8","1","1","Friday","Monday"
"368","158f8f3191d357844ad2810bbeda6bfb0ef22059a7ef690b09639ae70ecc78df","da42bec51d8398bc2d4373c779b144f4cb986fd372e300e2204df5f983ed7f75","19","7","19",2018-09-11,2018-09-04,"A","B","X","7","0","2","Tuesday","Tuesday"
"369","ad70cbd074421ddd85cf0a7bf9031d09df959cf717b73d88fdf41d07b4e69e26","8bc38788642a069a862c6a3d455b3e9125f51633b497991b060f2cc135e223d3","19","7","19",2018-09-11,2018-09-05,"A","B","X","7","0","2","Wednesday","Tuesday"
"370","d2b1a90243cd733facbfb6209120223b791c8d0a51d396cc2afd6f9505f9d731","dabb04d244f85dfa26b6e6f5dda746fa858697b25fd310b078dad4cba31bed67","14","7","14",2018-09-17,2018-09-14,"A","B","X","7","0","2","Friday","Monday"
"371","4585983a6e5797ed5f729b4aaf0be483b2c2a501febe92870a0ab621799a01e8","cdd9a443f4bf7ab1a420ebef988cca44bcfc6c73e8ec51fd39a7a0b3ccab5de6","19","7","19",2018-09-21,2018-09-17,"A","B","X","7","0","2","Monday","Friday"
"372","c550b0e2094496a986879a71aeace9180d50d9e03508fb8c2ed4d04f57dc572b","88df4753ca52b711804c44b780c66c232423877982d1d46f889959be73337d68","19","7","19",2018-09-19,2018-09-14,"A","B","X","7","0","2","Friday","Wednesday"
"373","73886fb9ba9b32fb34ee893975cfe221575090068320b5c465adc9b266fa2eb8","42f75f19a7de7a9b829848f2b936082bf895735929edfbdbb808edc3da4cb1a6","22","3","22",2018-10-01,2018-09-24,"A","B","X","7","0","3","Monday","Monday"
"374","95cf49f60b1c19f233b510635443494b65b27533d4d1a332bcb33f2ee2bb4e98","dd1f55651f6a63dc3de16c668717279dac7cf73225a3610cfe982ba012fe491d","19","7","19",2018-09-18,2018-09-17,"A","B","X","7","0","2","Monday","Tuesday"
